Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
Ccs,NA,NA,CG11406,CG11068,NA,NA,NA,NA,NA,CG1416,NA,NA,NA,NA,NA
Cct1,NA,NA,CG11417,CG11076,NA,NA,NA,NA,NA,CG14258,NA,NA,NA,NA,NA
Cct2,NA,NA,CG1143,CG11077,NA,NA,NA,NA,NA,CG14270,NA,NA,NA,NA,NA
Cctgamma,NA,NA,CG11436,CG11085,NA,NA,NA,NA,NA,CG14274,NA,NA,NA,NA,NA
Ccz1,NA,NA,CG11444,CG1109,NA,NA,NA,NA,NA,CG14277,NA,NA,NA,NA,NA
CD98hc,NA,NA,CG11453,CG11095,NA,NA,NA,NA,NA,CG14291,NA,NA,NA,NA,NA
Cda4,NA,NA,CG11459,CG11099,NA,NA,NA,NA,NA,CG14300,NA,NA,NA,NA,NA
Cda5,NA,NA,CG11470,CG11106,NA,NA,NA,NA,NA,CG14309,NA,NA,NA,NA,NA
Cda9,NA,NA,CG11474,CG11134,NA,NA,NA,NA,NA,CG14314,NA,NA,NA,NA,NA
CDase,NA,NA,CG11498,CG11137,NA,NA,NA,NA,NA,CG14326,NA,NA,NA,NA,NA
cdc14,NA,NA,CG11504,CG11145,NA,NA,NA,NA,NA,CG1434,NA,NA,NA,NA,NA
Cdc27,NA,NA,CG11523,CG11147,NA,NA,NA,NA,NA,CG14340,NA,NA,NA,NA,NA
Cdc2rk,NA,NA,CG11550,CG11151,NA,NA,NA,NA,NA,CG14346,NA,NA,NA,NA,NA
Cdc37,NA,NA,CG11555,CG11155,NA,NA,NA,NA,NA,CG14354,NA,NA,NA,NA,NA
CDC45L,NA,NA,CG11577,CG11158,NA,NA,NA,NA,NA,CG14406,NA,NA,NA,NA,NA
Cdc5,NA,NA,CG11586,CG11164,NA,NA,NA,NA,NA,CG14410,NA,NA,NA,NA,NA
CdGAPr,NA,NA,CG11594,CG11168,NA,NA,NA,NA,NA,CG14434,NA,NA,NA,NA,NA
cDIP,NA,NA,CG11601,CG11180,NA,NA,NA,NA,NA,CG14445,NA,NA,NA,NA,NA
Cdk1,NA,NA,CG1161,CG11190,NA,NA,NA,NA,NA,CG14502,NA,NA,NA,NA,NA
CDK2AP1,NA,NA,CG11619,CG11192,NA,NA,NA,NA,NA,CG14527,NA,NA,NA,NA,NA
Cdk4,NA,NA,CG11630,CG11200,NA,NA,NA,NA,NA,CG14528,NA,NA,NA,NA,NA
Cdk5,NA,NA,CG11655,CG11208,NA,NA,NA,NA,NA,CG14543,NA,NA,NA,NA,NA
Cdk5alpha,NA,NA,CG11665,CG11210,NA,NA,NA,NA,NA,CG14550,NA,NA,NA,NA,NA
Cdk7,NA,NA,CG11699,CG11211,NA,NA,NA,NA,NA,CG14607,NA,NA,NA,NA,NA
Cdk9,NA,NA,CG11739,CG11221,NA,NA,NA,NA,NA,CG14615,NA,NA,NA,NA,NA
Cdlc2,NA,NA,CG11752,CG11236,NA,NA,NA,NA,NA,CG14618,NA,NA,NA,NA,NA
cdm,NA,NA,CG11777,CG1124,NA,NA,NA,NA,NA,CG1463,NA,NA,NA,NA,NA
CecA2,NA,NA,CG11781,CG11241,NA,NA,NA,NA,NA,CG14630,NA,NA,NA,NA,NA
CecB,NA,NA,CG11788,CG11257,NA,NA,NA,NA,NA,CG14642,NA,NA,NA,NA,NA
ced-6,NA,NA,CG11791,CG11269,NA,NA,NA,NA,NA,CG14667,NA,NA,NA,NA,NA
CenG1A,NA,NA,CG11807,CG11275,NA,NA,NA,NA,NA,CG1468,NA,NA,NA,NA,NA
cep290,NA,NA,CG11825,CG11284,NA,NA,NA,NA,NA,CG14743,NA,NA,NA,NA,NA
Cep89,NA,NA,CG11836,CG11286,NA,NA,NA,NA,NA,CG14749,NA,NA,NA,NA,NA
Cep97,NA,NA,CG11837,CG1129,NA,NA,NA,NA,NA,CG14763,NA,NA,NA,NA,NA
cer,NA,NA,CG11839,CG11294,NA,NA,NA,NA,NA,CG14767,NA,NA,NA,NA,NA
Cerk,NA,NA,CG11841,CG11298,NA,NA,NA,NA,NA,CG14770,NA,NA,NA,NA,NA
Cf2,NA,NA,CG11852,CG11317,NA,NA,NA,NA,NA,CG14780,NA,NA,NA,NA,NA
Cfp1,NA,NA,CG11854,CG11318,NA,NA,NA,NA,NA,CG14795,NA,NA,NA,NA,NA
cg,NA,NA,CG11857,CG11321,NA,NA,NA,NA,NA,CG14798,NA,NA,NA,NA,NA
CG10011,NA,NA,CG11858,CG11327,NA,NA,NA,NA,NA,CG14806,NA,NA,NA,NA,NA
CG10019,NA,NA,CG11876,CG11333,NA,NA,NA,NA,NA,CG14835,NA,NA,NA,NA,NA
CG10026,NA,NA,CG11880,CG11334,NA,NA,NA,NA,NA,CG14880,NA,NA,NA,NA,NA
CG10029,NA,NA,CG11882,CG11342,NA,NA,NA,NA,NA,CG14892,NA,NA,NA,NA,NA
CG10031,NA,NA,CG11883,CG11345,NA,NA,NA,NA,NA,CG14907,NA,NA,NA,NA,NA
CG10050,NA,NA,CG11885,CG11349,NA,NA,NA,NA,NA,CG14957,NA,NA,NA,NA,NA
CG10051,NA,NA,CG11892,CG11369,NA,NA,NA,NA,NA,CG14963,NA,NA,NA,NA,NA
CG10053,NA,NA,CG11898,CG11373,NA,NA,NA,NA,NA,CG14967,NA,NA,NA,NA,NA
CG10055,NA,NA,CG11906,CG11377,NA,NA,NA,NA,NA,CG14984,NA,NA,NA,NA,NA
CG10062,NA,NA,CG11911,CG11379,NA,NA,NA,NA,NA,CG14995,NA,NA,NA,NA,NA
CG10063,NA,NA,CG11912,CG1138,NA,NA,NA,NA,NA,CG14997,NA,NA,NA,NA,NA
CG10068,NA,NA,CG11927,CG11381,NA,NA,NA,NA,NA,CG15005,NA,NA,NA,NA,NA
CG10073,NA,NA,CG11980,CG11382,NA,NA,NA,NA,NA,CG15027,NA,NA,NA,NA,NA
CG10075,NA,NA,CG11999,CG1139,NA,NA,NA,NA,NA,CG15065,NA,NA,NA,NA,NA
CG10077,NA,NA,CG12003,CG11391,NA,NA,NA,NA,NA,CG15067,NA,NA,NA,NA,NA
CG10082,NA,NA,CG12004,CG11400,NA,NA,NA,NA,NA,CG15084,NA,NA,NA,NA,NA
CG10086,NA,NA,CG12006,CG11403,NA,NA,NA,NA,NA,CG15098,NA,NA,NA,NA,NA
CG10096,NA,NA,CG12007,CG11409,NA,NA,NA,NA,NA,CG15111,NA,NA,NA,NA,NA
CG10098,NA,NA,CG12009,CG11412,NA,NA,NA,NA,NA,CG15117,NA,NA,NA,NA,NA
CG10103,NA,NA,CG12010,CG11413,NA,NA,NA,NA,NA,CG15118,NA,NA,NA,NA,NA
CG10104,NA,NA,CG12012,CG11417,NA,NA,NA,NA,NA,CG15124,NA,NA,NA,NA,NA
CG10131,NA,NA,CG12014,CG1142,NA,NA,NA,NA,NA,CG15155,NA,NA,NA,NA,NA
CG10132,NA,NA,CG12017,CG1143,NA,NA,NA,NA,NA,CG15210,NA,NA,NA,NA,NA
CG10137,NA,NA,CG12020,CG11444,NA,NA,NA,NA,NA,CG15227,NA,NA,NA,NA,NA
CG10139,NA,NA,CG12025,CG11453,NA,NA,NA,NA,NA,CG15236,NA,NA,NA,NA,NA
CG10147,NA,NA,CG12035,CG11454,NA,NA,NA,NA,NA,CG15237,NA,NA,NA,NA,NA
CG10165,NA,NA,CG12038,CG11459,NA,NA,NA,NA,NA,CG15239,NA,NA,NA,NA,NA
CG10166,NA,NA,CG12065,CG11470,NA,NA,NA,NA,NA,CG15252,NA,NA,NA,NA,NA
CG10188,NA,NA,CG12071,CG11474,NA,NA,NA,NA,NA,CG15263,NA,NA,NA,NA,NA
CG10189,NA,NA,CG12081,CG11498,NA,NA,NA,NA,NA,CG15279,NA,NA,NA,NA,NA
CG10194,NA,NA,CG12084,CG11504,NA,NA,NA,NA,NA,CG15312,NA,NA,NA,NA,NA
CG10195,NA,NA,CG12091,CG11523,NA,NA,NA,NA,NA,CG15330,NA,NA,NA,NA,NA
CG10202,NA,NA,CG12093,CG11539,NA,NA,NA,NA,NA,CG15333,NA,NA,NA,NA,NA
CG10205,NA,NA,CG12099,CG11550,NA,NA,NA,NA,NA,CG15337,NA,NA,NA,NA,NA
CG10209,NA,NA,CG12104,CG11555,NA,NA,NA,NA,NA,CG15343,NA,NA,NA,NA,NA
CG10211,NA,NA,CG12107,CG11563,NA,NA,NA,NA,NA,CG15347,NA,NA,NA,NA,NA
CG10226,NA,NA,CG12112,CG11583,NA,NA,NA,NA,NA,CG15356,NA,NA,NA,NA,NA
CG10237,NA,NA,CG12116,CG11584,NA,NA,NA,NA,NA,CG15357,NA,NA,NA,NA,NA
CG1024,NA,NA,CG12118,CG11594,NA,NA,NA,NA,NA,CG15358,NA,NA,NA,NA,NA
CG10262,NA,NA,CG12123,CG11596,NA,NA,NA,NA,NA,CG15369,NA,NA,NA,NA,NA
CG10268,NA,NA,CG1213,CG1161,NA,NA,NA,NA,NA,CG15385,NA,NA,NA,NA,NA
CG10274,NA,NA,CG12159,CG11617,NA,NA,NA,NA,NA,CG15386,NA,NA,NA,NA,NA
CG10283,NA,NA,CG12163,CG11619,NA,NA,NA,NA,NA,CG15394,NA,NA,NA,NA,NA
CG10286,NA,NA,CG12170,CG11629,NA,NA,NA,NA,NA,CG15414,NA,NA,NA,NA,NA
CG10289,NA,NA,CG12173,CG11634,NA,NA,NA,NA,NA,CG15418,NA,NA,NA,NA,NA
CG10306,NA,NA,CG12177,CG11635,NA,NA,NA,NA,NA,CG15431,NA,NA,NA,NA,NA
CG10307,NA,NA,CG12182,CG11655,NA,NA,NA,NA,NA,CG15443,NA,NA,NA,NA,NA
CG10311,NA,NA,CG12194,CG11674,NA,NA,NA,NA,NA,CG1545,NA,NA,NA,NA,NA
CG10317,NA,NA,CG12206,CG11699,NA,NA,NA,NA,NA,CG15472,NA,NA,NA,NA,NA
CG10321,NA,NA,CG12209,CG11752,NA,NA,NA,NA,NA,CG15517,NA,NA,NA,NA,NA
CG10332,NA,NA,CG12239,CG11756,NA,NA,NA,NA,NA,CG15526,NA,NA,NA,NA,NA
CG10333,NA,NA,CG12259,CG11781,NA,NA,NA,NA,NA,CG15528,NA,NA,NA,NA,NA
CG10337,NA,NA,CG1227,CG11788,NA,NA,NA,NA,NA,CG15530,NA,NA,NA,NA,NA
CG10338,NA,NA,CG12309,CG11796,NA,NA,NA,NA,NA,CG15545,NA,NA,NA,NA,NA
CG10340,NA,NA,CG12321,CG11815,NA,NA,NA,NA,NA,CG15547,NA,NA,NA,NA,NA
CG10341,NA,NA,CG12333,CG11816,NA,NA,NA,NA,NA,CG15548,NA,NA,NA,NA,NA
CG10343,NA,NA,CG12338,CG11825,NA,NA,NA,NA,NA,CG15553,NA,NA,NA,NA,NA
CG10344,NA,NA,CG12341,CG11836,NA,NA,NA,NA,NA,CG15572,NA,NA,NA,NA,NA
CG10345,NA,NA,CG12343,CG11837,NA,NA,NA,NA,NA,CG15579,NA,NA,NA,NA,NA
CG10347,NA,NA,CG12344,CG11841,NA,NA,NA,NA,NA,CG1561,NA,NA,NA,NA,NA
CG10352,NA,NA,CG12347,CG11843,NA,NA,NA,NA,NA,CG15611,NA,NA,NA,NA,NA
CG10353,NA,NA,CG1236,CG11851,NA,NA,NA,NA,NA,CG15630,NA,NA,NA,NA,NA
CG10359,NA,NA,CG12375,CG11852,NA,NA,NA,NA,NA,CG15631,NA,NA,NA,NA,NA
CG10366,NA,NA,CG12376,CG11854,NA,NA,NA,NA,NA,CG15642,NA,NA,NA,NA,NA
CG10376,NA,NA,CG12384,CG11858,NA,NA,NA,NA,NA,CG15649,NA,NA,NA,NA,NA
CG10395,NA,NA,CG12393,CG11865,NA,NA,NA,NA,NA,CG15701,NA,NA,NA,NA,NA
CG10413,NA,NA,CG12395,CG11876,NA,NA,NA,NA,NA,CG15706,NA,NA,NA,NA,NA
CG10417,NA,NA,CG12413,CG11880,NA,NA,NA,NA,NA,CG15708,NA,NA,NA,NA,NA
CG10420,NA,NA,CG1246,CG11882,NA,NA,NA,NA,NA,CG15710,NA,NA,NA,NA,NA
CG10424,NA,NA,CG12484,CG11883,NA,NA,NA,NA,NA,CG15717,NA,NA,NA,NA,NA
CG10425,NA,NA,CG12502,CG11889,NA,NA,NA,NA,NA,CG1572,NA,NA,NA,NA,NA
CG10428,NA,NA,CG12512,CG11898,NA,NA,NA,NA,NA,CG15728,NA,NA,NA,NA,NA
CG10431,NA,NA,CG12540,CG11906,NA,NA,NA,NA,NA,CG15734,NA,NA,NA,NA,NA
CG10433,NA,NA,CG12541,CG11911,NA,NA,NA,NA,NA,CG15742,NA,NA,NA,NA,NA
CG10435,NA,NA,CG12560,CG11912,NA,NA,NA,NA,NA,CG15754,NA,NA,NA,NA,NA
CG10444,NA,NA,CG12576,CG11920,NA,NA,NA,NA,NA,CG15765,NA,NA,NA,NA,NA
CG10445,NA,NA,CG12643,CG11927,NA,NA,NA,NA,NA,CG15766,NA,NA,NA,NA,NA
CG10462,NA,NA,CG1265,CG11929,NA,NA,NA,NA,NA,CG15767,NA,NA,NA,NA,NA
CG10463,NA,NA,CG12682,CG11980,NA,NA,NA,NA,NA,CG15784,NA,NA,NA,NA,NA
CG10465,NA,NA,CG12688,CG11999,NA,NA,NA,NA,NA,CG15818,NA,NA,NA,NA,NA
CG10467,NA,NA,CG12698,CG12004,NA,NA,NA,NA,NA,CG15820,NA,NA,NA,NA,NA
CG10469,NA,NA,CG1271,CG12007,NA,NA,NA,NA,NA,CG15822,NA,NA,NA,NA,NA
CG10470,NA,NA,CG12717,CG12009,NA,NA,NA,NA,NA,CG15829,NA,NA,NA,NA,NA
CG10472,NA,NA,CG12723,CG12012,NA,NA,NA,NA,NA,CG15861,NA,NA,NA,NA,NA
CG10477,NA,NA,CG12730,CG12014,NA,NA,NA,NA,NA,CG15865,NA,NA,NA,NA,NA
CG10479,NA,NA,CG12746,CG12018,NA,NA,NA,NA,NA,CG1622,NA,NA,NA,NA,NA
CG10481,NA,NA,CG1275,CG12020,NA,NA,NA,NA,NA,CG1632,NA,NA,NA,NA,NA
CG10483,NA,NA,CG12766,CG12024,NA,NA,NA,NA,NA,CG1635,NA,NA,NA,NA,NA
CG10486,NA,NA,CG12769,CG12035,NA,NA,NA,NA,NA,CG1636,NA,NA,NA,NA,NA
CG10492,NA,NA,CG12772,CG12038,NA,NA,NA,NA,NA,CG1637,NA,NA,NA,NA,NA
CG10494,NA,NA,CG12783,CG12065,NA,NA,NA,NA,NA,CG1640,NA,NA,NA,NA,NA
CG10495,NA,NA,CG12822,CG12069,NA,NA,NA,NA,NA,CG16704,NA,NA,NA,NA,NA
CG10505,NA,NA,CG12824,CG12071,NA,NA,NA,NA,NA,CG16713,NA,NA,NA,NA,NA
CG10510,NA,NA,CG12826,CG12075,NA,NA,NA,NA,NA,CG16758,NA,NA,NA,NA,NA
CG10513,NA,NA,CG12848,CG12078,NA,NA,NA,NA,NA,CG16771,NA,NA,NA,NA,NA
CG10514,NA,NA,CG12849,CG1208,NA,NA,NA,NA,NA,CG16791,NA,NA,NA,NA,NA
CG10527,NA,NA,CG12851,CG12081,NA,NA,NA,NA,NA,CG16799,NA,NA,NA,NA,NA
CG10543,NA,NA,CG12862,CG12091,NA,NA,NA,NA,NA,CG16800,NA,NA,NA,NA,NA
