gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
CG42789,0,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.710338479295824,0.710338479295824,0.710338479295824,0.710338479295824,0.935043397946961
CG42792,0.389369241396848,0.935043397946961,0.935043397946961,0.935043397946961,1,1,0.634352939922901,1,1,0.710338479295824,1,0.885228815789864,1,0.87966882817806,1,1
CG42797,1,1,1,1,1,1,1,1,1,1,0.109459159000587,0.96032530184625,1,1,1,0.927621197127993
CG42807,3.96907679187855e-13,1,1,0.0933040666742585,1,1,1,1,0.606987686973041,0.885811824954789,1,1,1,1,1,1
CG42809,0.000358614049214419,1,1,1,0.000771895304858338,1,1,1,1,0.294297946303594,1,1,0.710338479295824,0.649632230327526,1,0.833004847567977
CG4281,0.882919614875574,1,1,1,1,1,1,1,1,1,0.0933040666742585,1,1,1,1,1
CG42813,1,1,1,1,0.0208165943948389,1,1,1,1,0.648880066748805,0.750999290904597,1,1,1,0.588235562132951,1
CG42817,1,1,1,1,1,1,0.373738875048813,1,1,1,0.97902427357236,0.737195218750767,1,0.7664598975912,1,1
CG4282,0.710338479295824,1,1,1,1,1,1,0.264481363278034,1,1,0.761062056505827,0.564546981972021,1,0.71701868410533,0.979280862798794,0.967114302752223
CG42820,3.48056721328925e-09,1,1,1,5.85154823607154e-08,1,1,1,1,0.320854179141672,1,1,0.694287751648124,1,0.860586734840467,1
CG42822,0.757247285173129,1,1,0.810849019320546,1,1,0.944096418230618,1,1,1,0.991372590776001,1,1,1,1,1
CG42823,0.176442233079069,0.303469602862436,0.898567771806395,1,0.0504380373974722,0.253395434057112,0.56485931610216,0.991327952515648,0.659664119640683,1,1,0.0719631341686801,0.629959188267791,0.832410771676507,1,0.355231970310533
CG42834,5.33755469906501e-24,1,1,1,1.36153529524815e-26,1,1,1,1,0.766487052340083,0.444177024050785,1,0.947111588909608,1,1,1
CG42835,7.3892951006773e-23,1,1,1,9.45521497388716e-24,1,1,1,1,0.854030249241662,0.00209943571772135,1,1,1,1,1
CG42837,0.158791890858235,1,1,0.905747580043321,1,1,1,1,1,1,1,0.935043397946961,1,0.9499148304244,0.935043397946961,0.734859847948958
CG42851,0,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.710338479295824,0.710338479295824,0.710338479295824,0.710338479295824,0.935043397946961
CG42855,0.177801449052634,0.966548581862835,0.966548581862835,0.966548581862835,0.272212148439986,1,1,1,1,1,1,1,1,1,1,1
CG4286,0.0054118191404273,1,1,1,0.372959758003065,1,1,1,1,1,1,1,1,1,1,0.896578756723367
CG4293,1,1,1,1,1,1,1,1,0.805667242713475,1,1,1,0.485538338883633,1,1,1
CG4294,0.0536773870269891,1,1,0.014872514512406,1,1,1,1,1,1,0.669411526455372,1,1,1,1,1
CG4297,1,1,1,0.737252763060549,0.603484457155807,1,0.869578174006391,1,1,1,0.629618846309391,1,1,1,0.816259942554041,1
CG4301,0.923644358238041,1,1,0.710338479295824,1,1,1,1,1,1,1,1,1,0.716581050786349,1,0.951119885824719
CG4302,0.274815311958126,1,1,0.907349460905195,0.221958291528309,1,1,1,0.785026174965597,1,0.891089034325204,1,1,0.946420032344023,1,1
CG43052,0,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.710338479295824,0.710338479295824,0.710338479295824,0.710338479295824,0.935043397946961
CG43058,0.00348899855597866,1,1,1,0.00476703160152658,1,1,1,1,0.398962387537481,1,1,0.711300520611885,1,1,1
CG4306,2.30868005681749e-18,1,1,0.00128511829992832,0.00105245783333573,0.979845221227775,1,0.703617778865474,1,0.992306053795972,0.389267145435402,1,1,0.994186626287157,0.995126199573958,1
CG43066,1,1,1,1,0.11653276921958,1,1,1,1,0.922338958102069,0.870296300971017,1,1,0.981003810897181,0.798088402594577,0.805779421623701
CG43102,1,1,1,1.91787641222585e-05,1,1,1,1,0.465573987873382,0.624194574564474,1,1,0.38782152943946,0.778539235741119,0.87966882817806,0.721655990959404
CG43103,2.56368047325666e-14,1,1,0.000456137366465907,1,1,0.930383295403324,1,1,0.945635051172851,1,1,1,0.80434010279897,1,1
CG43107,0.988272699814137,0.950251023687683,0.969317971608709,0.480897979055967,0.0993511381754657,1,0.715139409902253,1,0.764807730393253,0.787124378654644,0.39462240037838,1,1,0.414375687346048,0.978567116439621,0.922677745669245
CG43112,0.2154664242795,1,1,0.715139409902253,0.426718126257734,1,1,0.952421510872098,0.972790076906076,1,1,1,1,1,1,1
CG43117,0.00453355394277929,1,1,1,0.857197876152372,1,1,1,1,1,1,1,1,1,1,1
CG4313,1.7702891061319e-05,1,1,0.000417419561618356,1,1,0.0183279932757169,0.0183279932757169,1,1,0.190383741104367,0.0289052123478504,1,0.168292607169417,0.524724527368888,0.215515787811304
CG43134,3.96304392805685e-33,0.880438905263482,0.960485744134414,0.0223789262282455,1.28260291627864e-39,1,1,0.50694289535934,1,1,0.185545048768103,0.955285346521237,1,1,0.807634432178017,1
CG43136,3.9509270695201e-22,1,1,1,7.08940848770546e-22,1,1,1,1,0.30802522595658,1.8747010502877e-17,1,0.881472411561527,1,0.655435450781114,1
CG43138,0.000555893341146366,1,1,1,0.762340802583701,1,1,1,0.878714507102334,1,0.963363274574785,1,0.979863547945341,1,1,1
CG43153,0.00273558747469965,1,1,0.140812360360529,0.00704688820868462,1,0.453664642790659,0.453664642790659,0.908599855777213,1,0.111694857131046,1,1,1,1,1
CG43155,0.130181003801004,0.965090481227114,1,0.965090481227114,0.965090481227114,0.773711114276654,0.710338479295824,1,1,1,0.731270364815572,0.963530070773618,1,0.935043397946961,1,1
CG4318,8.79614371128922e-07,1,1,1,1.00621824763592e-05,1,1,1,0.612946873133698,0.402156590412287,0.00150321712774513,1,0.333068581445794,0.872396489512263,0.732565871357349,0.677595464492429
CG43183,5.80838349393737e-06,1,1,1,6.13669383120827e-05,1,1,1,1,0.140568996144491,0.00513214578089583,1,1,1,0.453241590257115,1
CG43187,0.225921268776878,0.995465040832788,0.995465040832788,0.995465040832788,0.931215684389132,0.187765931140727,1,1,1,1,0.919186700683727,0.521323039148178,1,0.936126945349434,1,1
CG43190,2.83933408590666e-05,1,1,1,0.605397492143799,1,1,1,1,1,0.867771739032198,1,1,1,1,1
CG4324,0.000664210894620348,1,0.894621434465157,1,0.137745218881291,1,1,1,0.976403815148586,0.95115411292961,0.448962531658213,1,1,0.773711114276654,1,1
CG43244,0,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.0933040666742585,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.372959758003065,0.710338479295824,0.710338479295824,0.710338479295824,0.710338479295824,0.935043397946961
CG4325,0.372959758003065,1,1,1,1,1,0.760223002961759,0.677543319699804,1,1,1,0.373738875048813,1,1,0.404339564257766,0.729607550947686
CG43273,0.973878192128032,0.832711183744573,1,0.935043397946961,1,0.984885253128519,1,1,0.935650364627639,1,1,1,1,0.418772911369562,1,0.72197853647089
CG43288,0.00015113843921207,1,1,1,0.000389110872244584,1,1,1,0.747915738256113,0.179347400391939,0.0175535792819867,1,0.931808306575213,0.955570219271808,0.509709489797368,1
