Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
Adgf-E,CG15337,CG16771,aqrs,Ance-4,Amy-p,CG18284,CG15020,CG14960,CG31204,CG30033,CG10075,CG15073,CG14007,Ama,Cda5,CG15185,CG31750,CG18735,CG18417,CG17266,CG14544,CG13148,CG12849,CG13557,AspRS,CG31131,CG14598,CG13901,CG14052,CG12682,CG13744
Adh,CG15539,CG16813,aralar1,AnxB9,ana,CG18472,CG15116,CG15084,CG31644,CG30039,CG10077,CG15082,CG1402,Amy-d,CG10029,CG15212,CG31960,CG2901,CG18605,CG17737,CG14613,CG13163,CG13084,CG13658,asrij,CG31191,CG14806,CG13933,CG14247,CG12693,CG13771
Adhr,CG15564,CG17343,Archease,APC7,Ance-2,CG18605,CG15196,CG15116,CG31803,CG30065,CG10096,CG15083,CG14069,Amy-p,CG10064,CG15239,CG32235,CG30080,CG1999,CG17919,CG14661,CG13272,CG13245,CG13771,ast,CG31659,CG14957,CG13989,CG14325,CG12730,CG13895
adp,CG15578,CG17821,Arf79F,aph-1,antr,CG2113,CG15212,CG15172,CG31813,CG30090,CG10194,CG15116,CG14300,Antp,CG10075,CG15539,CG32241,CG30441,CG2053,CG18155,CG14913,CG13500,CG13284,CG13877,AstCC,CG32413,CG15120,CG14007,CG14650,CG13116,CG13933
ADPS,CG15579,CG17917,arg,Apoltp,AnxB9,CG2574,CG15239,CG15185,CG31974,CG30349,CG10211,CG15263,CG14317,AnxB9,CG10096,CG15545,CG32277,CG31131,CG30080,CG18301,CG15020,CG13516,CG13287,CG13989,Atg3,CG32461,CG15169,CG1421,CG14662,CG13148,CG14007
AdSL,CG15878,CG18131,Arp2,AQP,Apc,CG30033,CG15564,CG15219,CG32298,CG30377,CG10307,CG15332,CG14353,ap,CG10098,CG15564,CG32298,CG31207,CG3036,CG18568,CG15082,CG13563,CG13500,CG14069,Atg4a,CG32801,CG15185,CG14300,CG14880,CG13155,CG14050
Ady43A,CG16739,CG18234,Arp5,aqrs,APC10,CG30039,CG15919,CG15330,CG32395,CG31051,CG10332,CG15478,CG14451,AP-2sigma,CG10104,CG15873,CG32563,CG31803,CG31207,CG2837,CG15116,CG13708,CG13506,CG14103,Atg7,CG32806,CG15212,CG14339,CG1492,CG13245,CG14052
Ag5r2,CG16771,CG18605,Arpc1,Archease,ApepP,CG30065,CG16739,CG15517,CG32563,CG31226,CG10333,CG15564,CG14478,Apc,CG10131,CG16771,CG33773,CG32199,CG31542,CG2909,CG15169,CG13877,CG13579,CG1421,Atg8a,CG32983,CG15368,CG14589,CG14967,CG13438,CG14300
AGBE,CG16781,CG2113,Arpc5,armi,Apf,CG30080,CG16771,CG15545,CG32568,CG31659,CG10352,CG15629,CG14963,APC10,CG10280,CG16781,CG34220,CG32563,CG31664,CG30046,CG15196,CG13928,CG13670,CG14294,Atg8b,CG33160,CG15530,CG14780,CG15065,CG13511,CG14346
ago,CG17917,CG2574,Arv1,Arp53D,AQP,CG30429,CG16781,CG15564,CG32590,CG31750,CG10424,CG16700,CG15084,ApepP,CG10307,CG1690,CG34224,CG33003,CG31750,CG30054,CG15212,CG14007,CG13771,CG14300,ATPsynF,CG33299,CG15547,CG14990,CG15172,CG1354,CG14545
